"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2021","55.69","55.92","55.98","55.55","13.89M","-0.68%"
"Sep 13, 2021","56.07","55.74","56.40","55.74","20.02M","0.83%"
"Sep 10, 2021","55.61","56.01","56.13","55.51","10.57M","-0.45%"
"Sep 09, 2021","55.86","56.18","56.42","55.80","12.51M","-0.99%"
"Sep 08, 2021","56.42","55.61","56.48","55.61","11.93M","1.35%"
"Sep 07, 2021","55.67","56.60","56.69","55.51","15.47M","-1.87%"
"Sep 03, 2021","56.73","56.46","56.76","56.24","13.22M","-0.07%"
"Sep 02, 2021","56.77","56.77","57.03","56.41","11.34M","0.14%"
"Sep 01, 2021","56.69","56.38","56.80","56.28","9.52M","0.67%"
"Aug 31, 2021","56.31","56.16","56.51","56.00","13.43M","0.23%"
"Aug 30, 2021","56.18","55.69","56.20","55.64","10.01M","0.95%"
"Aug 27, 2021","55.65","55.66","55.78","55.45","8.84M","0.20%"
"Aug 26, 2021","55.54","55.95","55.98","55.51","10.32M","-0.95%"
"Aug 25, 2021","56.07","56.06","56.17","55.73","11.27M","0.11%"
"Aug 24, 2021","56.01","56.64","56.64","55.90","11.84M","-0.76%"
"Aug 23, 2021","56.44","56.67","56.75","56.38","8.77M","-0.35%"
"Aug 20, 2021","56.64","56.84","57.03","56.58","10.54M","-0.39%"
"Aug 19, 2021","56.86","56.06","56.98","55.95","9.19M","0.64%"
"Aug 18, 2021","56.50","57.19","57.23","56.42","13.45M","-1.36%"
"Aug 17, 2021","57.28","57.46","57.56","57.01","10.08M","-0.35%"
"Aug 16, 2021","57.48","57.20","57.49","57.03","7.96M","0.44%"
"Aug 13, 2021","57.23","56.81","57.30","56.77","7.71M","0.69%"
"Aug 12, 2021","56.84","56.73","56.98","56.73","6.12M","0.19%"
"Aug 11, 2021","56.73","56.89","57.18","56.71","8.35M","-0.12%"
"Aug 10, 2021","56.80","56.84","57.15","56.66","10.91M","0.26%"
"Aug 09, 2021","56.65","56.81","56.86","56.44","8.86M","0.02%"
"Aug 06, 2021","56.64","56.60","56.74","56.44","10.41M","0.25%"
"Aug 05, 2021","56.50","56.53","56.59","56.29","9.81M","0.71%"
"Aug 04, 2021","56.10","56.79","56.94","56.02","11.89M","-1.44%"
"Aug 03, 2021","56.92","56.98","56.99","56.75","8.83M","0.07%"
"Aug 02, 2021","56.88","57.19","57.21","56.71","9.78M","-0.26%"
"Jul 30, 2021","57.03","57.15","57.25","56.90","11.73M","-0.04%"
"Jul 29, 2021","57.05","57.00","57.25","56.87","9.60M","0.55%"
"Jul 28, 2021","56.74","57.10","57.15","56.63","9.86M","-0.91%"
"Jul 27, 2021","57.26","57.15","57.54","56.93","12.79M","0.35%"
"Jul 26, 2021","57.06","56.82","57.12","56.56","8.68M","0.09%"
"Jul 23, 2021","57.01","56.59","57.33","56.45","12.14M","0.96%"
"Jul 22, 2021","56.47","56.62","56.74","56.05","13.40M","-0.14%"
"Jul 21, 2021","56.55","57.33","57.56","56.42","20.92M","1.29%"
"Jul 20, 2021","55.83","55.73","56.33","55.52","16.26M","0.18%"
"Jul 19, 2021","55.73","56.08","56.35","55.16","19.53M","-1.19%"
"Jul 16, 2021","56.40","56.46","56.68","56.26","14.86M","-0.07%"
"Jul 15, 2021","56.44","56.25","56.47","55.92","15.07M","0.32%"
"Jul 14, 2021","56.26","55.00","56.34","54.98","22.00M","2.25%"
"Jul 13, 2021","55.02","54.90","55.29","54.81","15.17M","0.99%"
"Jul 12, 2021","54.48","54.39","54.58","54.28","15.11M","0.04%"
"Jul 09, 2021","54.46","54.25","54.52","54.18","10.85M","0.61%"
"Jul 08, 2021","54.13","53.98","54.16","53.75","11.94M","-0.35%"
"Jul 07, 2021","54.32","53.77","54.37","53.77","14.38M","0.82%"
"Jul 06, 2021","53.88","53.97","54.07","53.56","15.28M","-0.55%"
"Jul 02, 2021","54.18","54.00","54.45","54.00","10.61M","0.41%"
"Jul 01, 2021","53.96","54.34","54.47","53.86","13.21M","-0.28%"
"Jun 30, 2021","54.11","53.81","54.18","53.75","14.61M","0.46%"
"Jun 29, 2021","53.86","54.16","54.34","53.72","12.30M","-0.74%"
"Jun 28, 2021","54.26","54.29","54.32","54.01","10.56M","-0.11%"
"Jun 25, 2021","54.32","54.24","54.47","54.01","18.88M","-0.13%"
"Jun 24, 2021","54.39","54.30","54.41","54.01","11.49M","0.50%"
"Jun 23, 2021","54.12","54.55","54.57","54.11","12.34M","-0.81%"
"Jun 22, 2021","54.56","54.34","54.85","54.26","13.07M","0.37%"
"Jun 21, 2021","54.36","54.22","54.43","54.00","14.40M","1.10%"
"Jun 18, 2021","53.77","54.51","54.62","53.72","31.45M","-2.15%"
"Jun 17, 2021","54.95","54.69","55.14","54.67","10.66M","0.51%"
"Jun 16, 2021","54.67","55.45","55.45","54.66","15.21M","-1.34%"
"Jun 15, 2021","55.41","55.69","55.78","55.20","11.15M","-0.25%"
"Jun 14, 2021","55.55","55.69","55.71","55.20","9.71M","-1.09%"
"Jun 11, 2021","56.16","55.99","56.21","55.66","11.83M","0.45%"
"Jun 10, 2021","55.91","55.91","56.12","55.76","12.44M","0.78%"
"Jun 09, 2021","55.48","55.75","55.92","55.48","9.84M","-0.31%"
"Jun 08, 2021","55.65","56.25","56.25","55.55","10.97M","-0.70%"
"Jun 07, 2021","56.04","56.31","56.34","55.81","14.01M","-0.36%"
"Jun 04, 2021","56.24","55.90","56.48","55.78","18.94M","1.08%"
"Jun 03, 2021","55.64","55.18","55.74","55.10","17.36M","0.25%"
"Jun 02, 2021","55.50","55.50","55.56","55.26","11.33M","0.40%"
"Jun 01, 2021","55.28","55.34","55.65","55.09","13.30M","-0.02%"
"May 28, 2021","55.29","55.35","55.71","55.20","17.01M","-0.36%"
"May 27, 2021","55.49","55.21","55.57","54.77","59.11M","0.84%"
"May 26, 2021","55.03","54.98","55.05","54.59","16.06M","0.44%"
"May 25, 2021","54.79","54.82","54.82","54.34","11.92M","-0.02%"
"May 24, 2021","54.80","54.63","54.93","54.49","10.33M","0.33%"
"May 21, 2021","54.62","54.80","55.12","54.22","16.03M","-0.05%"
"May 20, 2021","54.65","54.12","54.80","54.12","10.95M","0.89%"
"May 19, 2021","54.17","54.12","54.18","53.61","15.13M","-0.31%"
"May 18, 2021","54.34","54.39","54.56","54.10","13.23M","-0.55%"
"May 17, 2021","54.64","54.84","55.02","54.50","12.12M","-0.16%"
"May 14, 2021","54.73","54.90","55.10","54.69","11.73M","0.40%"
"May 13, 2021","54.51","53.97","54.77","53.83","15.48M","0.87%"
"May 12, 2021","54.04","54.36","54.55","53.88","15.84M","-0.52%"
"May 11, 2021","54.32","55.03","55.14","54.05","12.99M","-1.07%"
"May 10, 2021","54.91","54.88","55.49","54.83","15.55M","0.73%"
"May 07, 2021","54.51","54.44","54.77","54.16","10.64M","-0.06%"
"May 06, 2021","54.54","54.12","54.60","54.05","11.57M","1.00%"
"May 05, 2021","54.00","54.14","54.24","53.71","9.67M","-0.26%"
"May 04, 2021","54.14","54.57","54.62","53.94","14.15M","-0.62%"
"May 03, 2021","54.48","54.27","54.80","54.16","10.42M","0.93%"
"Apr 30, 2021","53.98","54.25","54.27","53.69","14.91M","-0.52%"
"Apr 29, 2021","54.26","53.54","54.36","53.43","15.39M","1.25%"
"Apr 28, 2021","53.59","53.98","54.05","53.44","10.87M","0.02%"
"Apr 27, 2021","53.58","53.56","53.70","53.32","9.85M","-0.15%"
"Apr 26, 2021","53.66","54.47","54.51","53.58","11.68M","-1.49%"
"Apr 23, 2021","54.47","54.40","54.59","54.17","9.02M","0.06%"
"Apr 22, 2021","54.44","54.47","54.87","54.31","12.56M","-0.31%"
"Apr 21, 2021","54.61","54.24","54.74","54.24","13.87M","0.81%"
"Apr 20, 2021","54.17","53.84","54.59","53.81","14.42M","0.31%"
"Apr 19, 2021","54.00","54.00","54.36","53.30","19.35M","0.60%"
"Apr 16, 2021","53.68","53.74","53.80","53.38","17.97M","0.66%"
"Apr 15, 2021","53.33","53.13","53.66","53.12","13.08M","0.47%"
"Apr 14, 2021","53.08","52.98","53.19","52.65","9.79M","-0.02%"
"Apr 13, 2021","53.09","53.04","53.28","52.81","11.07M","-0.49%"
"Apr 12, 2021","53.35","53.33","53.55","53.09","8.57M","0.32%"
"Apr 09, 2021","53.18","53.17","53.28","52.81","10.83M","0.11%"
"Apr 08, 2021","53.12","53.17","53.38","52.97","9.70M","-0.30%"
"Apr 07, 2021","53.28","53.28","53.50","53.12","10.06M","0.17%"
"Apr 06, 2021","53.19","53.04","53.65","52.90","15.61M","0.72%"
"Apr 05, 2021","52.81","52.35","53.22","52.29","16.37M","0.57%"
"Apr 01, 2021","52.51","52.96","53.15","52.45","15.83M","-0.38%"
"Mar 31, 2021","52.71","53.03","53.17","52.50","15.83M","-0.83%"
"Mar 30, 2021","53.15","53.75","53.79","52.92","14.87M","-1.30%"
"Mar 29, 2021","53.85","52.73","53.94","52.71","17.51M","1.53%"
"Mar 26, 2021","53.04","52.14","53.11","51.76","17.13M","1.96%"
"Mar 25, 2021","52.02","51.70","52.06","51.17","17.09M","0.97%"
"Mar 24, 2021","51.52","51.17","51.89","51.15","15.00M","0.25%"
"Mar 23, 2021","51.39","50.99","51.65","50.83","16.94M","0.76%"
"Mar 22, 2021","51.00","50.32","51.08","50.32","17.91M","0.37%"
"Mar 19, 2021","50.81","50.46","51.08","50.17","67.85M","0.47%"
"Mar 18, 2021","50.57","51.06","51.19","50.48","18.01M","-1.31%"
"Mar 17, 2021","51.24","51.25","51.62","51.15","17.50M","0.04%"
"Mar 16, 2021","51.22","51.20","51.52","51.04","14.21M","0.37%"
"Mar 15, 2021","51.03","50.50","51.12","50.47","13.41M","1.33%"
"Mar 12, 2021","50.36","50.59","50.68","50.20","17.60M","-1.02%"
"Mar 11, 2021","50.88","51.41","51.43","50.81","17.42M","-1.09%"
"Mar 10, 2021","51.44","51.18","51.63","50.72","21.33M","1.14%"
"Mar 09, 2021","50.86","51.72","51.88","50.82","23.08M","-1.51%"
"Mar 08, 2021","51.64","51.47","52.49","51.16","25.08M","1.67%"
"Mar 05, 2021","50.79","50.05","50.95","49.90","21.31M","1.70%"
"Mar 04, 2021","49.94","50.31","51.09","49.62","22.04M","-0.08%"
"Mar 03, 2021","49.98","49.72","50.56","49.71","15.41M","-0.24%"
"Mar 02, 2021","50.10","49.84","50.56","49.70","11.76M","0.40%"
"Mar 01, 2021","49.90","49.44","50.44","49.40","13.90M","1.86%"
"Feb 26, 2021","48.99","50.20","50.21","48.97","23.64M","-2.35%"
"Feb 25, 2021","50.17","50.47","50.74","49.98","14.21M","-1.06%"
"Feb 24, 2021","50.71","50.39","50.90","50.13","14.44M","0.34%"
"Feb 23, 2021","50.54","51.00","51.51","50.42","16.22M","-0.18%"
"Feb 22, 2021","50.63","49.85","50.88","49.67","14.37M","1.04%"
"Feb 19, 2021","50.11","50.79","50.83","49.97","15.97M","-1.30%"
"Feb 18, 2021","50.77","50.16","50.84","50.03","12.75M","1.28%"
"Feb 17, 2021","50.13","50.00","50.48","49.88","12.81M","-0.28%"
"Feb 16, 2021","50.27","50.62","50.72","50.16","15.09M","-0.83%"
"Feb 12, 2021","50.69","50.57","50.85","50.39","13.14M","0.78%"
"Feb 11, 2021","50.30","49.81","50.59","49.80","21.93M","1.41%"
"Feb 10, 2021","49.60","50.41","50.58","49.53","22.97M","-0.20%"
"Feb 09, 2021","49.70","49.85","50.02","49.63","14.59M","-0.44%"
"Feb 08, 2021","49.92","49.96","50.17","49.49","17.83M","0.54%"
"Feb 05, 2021","49.65","49.50","49.78","49.27","12.74M","1.31%"
